from_x,from_y,to_x,to_y,param1,param2,param3
22,61,-50,49,16,0,4
14,58,-50,49,16,0,4
6,54,-51,50,16,0,4
-3,48,-50,48,58,128,4
-30,24,-50,45,58,138,4
-56,-12,-41,41,4,0,4
-46,29,47,-28,8,0,4
48,-27,-48,28,1,0,4
-43,30,47,-26,16,0,4
48,-26,-46,29,1,0,4
-39,31,47,-25,16,0,4
48,-25,-43,30,1,0,4
-34,32,47,-24,16,0,4
48,-24,-39,31,1,0,4
-28,33,47,-23,16,0,4
48,-23,-34,32,1,0,4
-22,33,47,-22,16,0,4
48,-22,-28,33,1,0,4
-16,33,47,-21,8,0,4
48,-21,-22,33,1,0,4
-10,32,47,-20,16,0,4
48,-20,-16,33,1,0,4
-4,30,47,-19,16,0,4
48,-19,-10,32,1,0,4
2,27,47,-18,16,4,4
48,-18,-4,30,1,0,4
8,23,47,-17,16,7,4
48,-17,2,27,1,0,4
14,19,47,-16,8,0,4
48,-16,8,23,1,0,4
20,15,47,-15,8,0,4
48,-15,14,19,1,0,4
25,11,47,-14,16,13,4
48,-14,20,15,1,0,4
29,8,47,-13,8,0,4
48,-13,25,11,1,0,4
32,5,47,-12,16,21,4
48,-12,29,8,1,0,4
34,2,47,-11,16,36,4
48,-11,32,5,1,0,4
35,-1,47,-10,16,13,4
48,-10,34,2,1,0,4
35,-4,47,-9,16,0,4
48,-9,35,-1,1,0,4
34,-7,47,-8,16,29,4
48,-8,35,-4,1,0,4
32,-10,47,-7,16,15,4
48,-7,34,-7,1,0,4
29,-13,47,-6,16,0,4
48,-6,32,-10,1,0,4
25,-16,47,-5,16,0,4
48,-5,29,-13,1,0,4
20,-19,47,-4,16,0,4
48,-4,25,-16,1,0,4
14,-22,47,-3,16,0,4
48,-3,20,-19,1,0,4
8,-24,47,-2,16,0,4
48,-2,14,-22,1,0,4
2,-25,47,-1,16,0,4
48,-1,8,-24,1,0,4
-4,-25,47,0,16,0,4
48,0,2,-25,1,0,4
-10,-24,47,1,16,0,4
48,1,-4,-25,1,0,4
-16,-22,47,2,16,0,4
48,2,-10,-24,1,0,4
-22,-19,47,3,16,0,4
